"Protein.Ids","ALM6","ALM7","ALM8","ALM9","ALM10","ALM11","ALM12","ALM13","ALM14","ALM15","ALM16","ALM17","ALM18","ALM19","ALM20","ALM21","ALM22","ALM23","ALM24","ALM25","ALM26","ALM27","ALM28","ALM29","ALM30","ALM31","ALM32","ALM33","ALM34","ALM35","ALM36","ALM37","ALM38","ALM39","ALM40","ALM41","ALM42","ALM43","ALM44","ALM45","ALM46","ALM47"
"P08962","58576.6","70200.8","50445.7","80337.9","64495.1","47307.5","53338.9","68960.8","69655.2","63124.9","57878.9","64425.6","59470","59053.6","59558.2","45203.9","44675.3","47861.5","92415.9","74416.9","46867.1","57570.4","59891.7","98894.7","102313","63526.2","31292.6","71000.3","28304.1","13106.6","20553.3","58267.5","58208.5","31718.4","50267.8","62831.9","24845.9","70939.6","6448.52","47781.5","39003","69398"
"P09001","5659.88","6824.01","4994.32","3878.96","7298.58","9847.31","4658.62","2352.81","6197.53","8106.3","9385.08","11306.8","10240.4","6552.96","5971.68","4658.56","8134.66","7822.06","2970.5","6608.61","4933.25","7955.19","8666.14","6431.1","5080.69","8765.62","7712.94","7596.6","6889.72","7034.22","6820.68","2705.8","5437.11","7670.27","6469.44","2872.95","6708.92","7553.61","4428.24","3313.75","6107.15","4307.53"
"P09012","6177.68","8867.85","5418.81","3239.53","4290.35","4267.48","3726.56","1948.14","5679.08","9608.37","6301.94","8770.72","5808.13","5785.43","8791.31","3816.54","7645.04","7751.94","3807.75","5232","4035.79","6386.69","3472.69","4730.29","2473.79","6122.96","9143.97","7474.89","8524.05","8647.39","6172.69","2362.28","3694.87","8951.61","4080.8","1494.72","6942.55","5593.9","9971.96","1935.91","6678.49","3707.78"
"P09038","4739.35",NA,"3270.53","3013.98","3097.44","1327.41","9611.88","3219.06","4924.7",NA,NA,NA,NA,"1561.53","1195.48","4795.44",NA,NA,"4503.81","1379.26","3892.81","2188.38","990.013","2244.35","2236.27","1729.79",NA,"3535.58",NA,NA,NA,"7535.65","3810.41",NA,"2503.9","4060.65",NA,"2067.91","1936.13","5520.45","3389.85","4719.03"
"P09104","23644.2","19327.9","23716.2","31247.7","14976","15460.5","10836.7","17430.3","17224.5","13546.8","12647.5","11423.6","16617.7","12843.8","13650","18529.4","9997.03","8979.44","12022.2","14197.6","22408.6","23769.4","14809.2","17946.1","19101.5","15386.1","13906.8","14540.3","10119.6","11736.1","12635.2","13778.5","17184","10579.4","17538.2","15407.7","12860.7","14042.3","6435.11","12962.9","24077.9","13933.5"
"P09110","17267.6","13853","13794","20422.5","22770.6","17734.9","20690.1","15823.6","19714.7","16691.5","13351.4","13529.5","8265.08","20071.5","15624.3","14329.2","10583.5","9074.46","21201.8","15827.5","12643.1","12411.3","17065.6","20083.2","16255.8","15971","8758.33","11710.4","9902.73","7259.7","8485","16116.6","17991.9","10869.2","17219.4","13334.2","11229.6","17825.2","9935.64","11103.9","15917","18359.6"
"P09132","3421.55","3935.08","3934.22","4117.52","3012.78","4216.22","3505.18","3634.2","3425.12","2884.19","2606.41","4102.34","3659.83","3341.51","3758.48","3089.32","3766","3165.31","2168.58","3384.25","3651.54","3984.46","3581.68","3872.69","2936.9","3522.51","3130.14","4141.78","3628.55","3222.5","4094.81","2986.84","3887.88","3636.73","3805.7","3820.37","3172.63","3723.48","3222.12","2520.52","2890.17","3632.65"
"P09234","8386.22","6430.35","6782.17","9236.58","9772.02","9256.08","6390.74","3065.96","6214.48","8183.4","7380.93","8634.46","6735.21","6292.55","8758.95","6017.68","8825.14","4127.04","7523.09","7259.94","8304.31","8509.17","6684.2","7669.95","6704.5","11128.8","9779.59","8086.87","4584.69","3460.65","6125.26","6555.92","8187.41","8879.14","8618.28","6892.95","2525.33","6908.17","4557.98","4609.06","6509.25","8686.89"
"P09382","599863","471585","602999","494260","510973","415693","396530","453570","618057","535066","442663","356930","354441","499291","450395","435441","523901","265037","537386","372562","533963","434793","412462","534115","661200","424341","414465","470890","513861","427405","507559","510423","658251","374209","562753","456727","457663","433355","293419","342879","623139","520141"
"P09417","16875.9","13802.9","12527.3","12974.4","17088.1","14867.6","14395.5","9497.82","16065.9","9794.72","14027.7","9801.36","9105.7","10912.8","11636.2","17275.6","8265.36","9969.08","11555.3","10731.1","14821","12451.3","15829.2","16412.3","12511.6","14180.5","10065.1","12479.3","7808.62","5171.65","9803.07","13086.6","14685.1","12903.2","15725.3","14985.7","9670.14","10864.7","7660.99","8194.5","10667.3","13520.2"
"P09429","97302.2","28275.1","105749","32833.7","41464.2","104828","24933.4","32797.7","110224","62949.6","56924.5","40216.9","85634","99968.2","125041","117735","61569.6","88662.4","47363.2","107233","28213.5","83889.5","73332.6","25504.3","81552.6","128265","68309.5","63972.8","121998","72391.2","56903.7","65846.1","23064.1","62568.7","91701","83942.5","72010.9","91506.8","96572.1","79526.6","110746","102501"
