"Protein.Ids","ALM6","ALM7","ALM8","ALM9","ALM10","ALM11","ALM12","ALM13","ALM14","ALM15","ALM16","ALM17","ALM18","ALM19","ALM20","ALM21","ALM22","ALM23","ALM24","ALM25","ALM26","ALM27","ALM28","ALM29","ALM30","ALM31","ALM32","ALM33","ALM34","ALM35","ALM36","ALM37","ALM38","ALM39","ALM40","ALM41","ALM42","ALM43","ALM44","ALM45","ALM46","ALM47"
"A0A024RBG1","2198.56","2185.21",NA,"1469.29","3406.03","3962.32","1855.16",NA,"4988.31","7309.66",NA,"1788.98",NA,"4980.29","5350.97","2206.37",NA,"6785.58",NA,"4795.23","3142.81","3015.42","3901.65","2523.92","6479.48","7428.51","7910.21","6591.34","8257.99","7875.45","5446.27","2531.87","2957.05","5472.6","2898.75","2445.04","6716.84","5740.78","5686.73","2078.14","4702.62","4009.81"
"A0A0B4J2D5","9513.46","7434.22","7924.95","10275.3","8995.89","6351.71","8618.64","9032.69","9126.18","8081.43","7036.96","6543.25","5882.01","6590.96","8256.73","5914.81","6062.24","3953.61","7290.06","8176.72","10346.7","6902.4","8293.83","7449.86","7910.69","8223.34","5264.84","7414.24","4561.7","6527.11","3445.19","9132.65","9717.73","5193.64","8669.6","5882.95","5518.17","6985.75","4275.19","5099.66","8058.24","9883.56"
"A0AVT1","6613.02","8601.22","6216.01","6088.29","6107.97","7524.79","4307.74","6269.53","5566.3","7321.23","9572.94","9933.57","11050.9","7586.92","7037.84","5228.47","9337.71","9768.08","5453.42","8849.18","5766.61","9094.64","8381.4","7226.88","6590.62","7462.96","9455.09","7347.12","8585.18","7775.44","10617.8","5201.67","6829.13","10088.2","7825.76","5636.94","11147.3","9578.23","7898.04","6236.83","7728.75","4341.18"
"A0FGR8","7214.67","7887.3","8760.31","7670.38","7403.84","6945.12","7150.64","7202.73","6447.29","7114.27","8034.79","6742.05","8571.54","7778.34","6586.86","7398.27","7075.75","6071.17","7493.66","7733.2","6129.93","10126.9","7454.67","7314.46","8440.02","8433.08","6494.21","8242.34","4621.62","5716.84","6871.36","8215.86","8027.33","6067.06","8540.94","6797.36","5712.83","8722.9","4892.99","8839.73","9189.92","8110.74"
"A0JNW5","1853.17","2198.96","1909.86","1237.81","2222.05","2870.85","2226.64","5165.55","1887.31","2022.55","4214.54","3265.49","2532.56","2919.9","1970.46","1642.33","3034.81","2842.35","4226.88","1961.31","1776.9","2931.64","2007.32","2792.83","2033.1","1978.04","4669.77","1422.97","3080.89","3772.52","1959.17","1521.11","2241.23","2504.55","1823.69","2527.51","1896.24","3674.29","3688.21","2412.62","2648.33","1532.34"
"A1L0T0","6181.81","6841.84","4795.58","3392.22","5643.26","4928.23","3997.88","4423.15","5420.6","6290.93","6219.05","5069.29","5497.78","6623.1","5093.95","3865.04","5657.79","8175.58","3625.37","5558.93","3618.2","5319","7883.67","5784.19","5640.36","7351.5","6121.75","7553.33","7224.02","6839.65","7461.22","4732.08","5091.04","5984.79","5801.9","3239.5","7771.1","8327.26","7063.78","5130.25","6837.82","5467.54"
"A1X283","2146.1","2051.9","2123.38","1745.89","1022.89","1635.35","1138.68","1336.22","2288","1531.52","1411.86","1554.16","1827.12","2292.98","2243.99","1385.57","1487.46","2327.86","1510.22","2056.44","1366.84","1756.65","2108","905.475","1618.99","1624.42","1569.86","1636.92","1873.59","1862.44","1695.39","1570.71","1509.23","1655.82","1750.93","917.85","1508.44","1672.53","2356.55","1691.76","1455.1","1479.51"
"A1XBS5","984.504","447.912","801.039","983.364","746.674","876.447","520.419",NA,"608.347","778.57","1006.36","699.576","584.261","407.986","806.273","1178.18","659.214","331.318",NA,NA,"1174.88","724.162","711.447","620.281","693.976","1215.01","1246.6","731.521","679.271","705.167","426.964","814.652","1114.52","536.188","1227.83",NA,"739.963","966.428","933.156","1054.63","750.219","653.1"
"A2RRP1","3693.53","6152.99","4644.26","4125.39","5523.4","4529.34","3387.49","5341.57","4530.41","4574.73","6579.68","5451.82","7269.96","6374.4","5040.61","4652.07","5969.65","7552.83","4432.09","6488.5","2875.73","6529.04","5237.32","5514.49","5138.97","6987.07","6007.23","5483.33","5001.14","8467.91","7279.58","3628.65","4126.83","7415.73","5273.95","3350.16","6124.64","8332.15","6428.9","5222.91","6099.94","3741.46"
"A4D1P6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"339.552",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"333.765","434.054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"190.731",NA
"A5A3E0","137971","101803","53171.6","144620","79807.4","52162.9","160070","82668.5","105815","92328.1","91195","104191","48324.9","39508.5","37938.5","175088","29754","54863.5","155432","91295.4","209224","123620","113830","69455.5","150314","86340.3","79169.3","95425.4","40212.9","43814.9","74289.3","139355","149177","52228.5","105199","175415","64566.6","90511.8","55276.4","162778","101318","56484.1"
"A5D8V6","276.884","226.088",NA,NA,NA,NA,NA,NA,NA,"208.728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"303.638",NA,NA,"179.745",NA,NA,NA,NA,NA,NA,"60.0623",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A5PLL7","2950.78","6943.42","2910.14","3167.68","2969.85","6632.62","1359.54","2148.32","2926.11","6355.87","8596.77","5838.04","12358.9","6363.93","4165.58","3264.19","6972.54","9364.72","2022.17","7499.29","2371.51","9443.77","5191.21","3043.32","3448.42","5517.92","11532.8","5557.88","7632.25","9301.56","5142.85","1324.24","3759.61","7409.91","3217.84","2604.94","6314.6","5146.86","9297.64","3183.12","3563.62","2685.05"
"A5YKK6","3666.07","4899.39","4148.5","3416.46","4479.7","4964.9","2317.36","2807.61","3815.26","5782.59","10329.5","6046.99","10218.1","6127.57","6019.97","3715.71","8663.16","8920.4","2949.01","5738.04","2896.46","6195.69","6655.56","4748.52","4204.72","7529.85","8819.45","5961.46","5432.67","6278.79","4884.94","2384.72","2845.21","6199.8","4241.3","2914.34","4496.43","6645.64","7448.1","5750.51","6043.93","3691.1"
"A6NCE7","43021.5","29810.8","48153.7","34445.2","28422","40264","21599.6","14304","45359.6","33632.4","25281.1","32482.3","42892.1","40659.4","40254.8","40103.1","17906.4","23148.9","14523.1","34824.3","27211.7","31044.4","38838.3","34782.1","41173.2","26206.9","22193.8","22383.5","23113.7","20841.1","34606.6","38229.3","31661.3","30525.2","37146.4","27729.1","28717.4","28381.6","18664.9","22643.5","25058.5","44333.5"
"A6NDG6","1656.82","1760.33","1504.62","2161.78","1862.24","1484.24","1406.03","1295.19","1866.84","1967.5","1422.89","1384.57","1591.02","1434.24","1863.31","959.982","1487.58","1186.11","1323.73","1594.23","2457.91","1453.59","1967.51","1817.43","2012.48","1449.62","1765.2","1733.77","1361","717.701","1159.89","1978.47","2095.97","1528.92","1693.21","1654.96","1510.01","2000.83","1616.11","1440.14","1267.12","1476.07"
"A6NDU8","1622.76","2098.93","2122.03","2348.96","2389.31","2983.3","1193.05","2275.02","1373.65","1822.37","2511.02","2030.57","2501.32","2712.52","2314.92","1537.07","1774.24","1892.93","2555.45","3166.11","2453.63","3062.18","2739.58","2358.55","2247.41","2212.28","1640.25","908.337","673.452","1175.4","1838.99","1409.6","2634.27","2916.98","2604.02","1424.09","1801.33","1908.61","1307.64","1728.48","1836.72","1957.37"
"A6NHL2","4399.81","2585.92","4698.37","3160.84","5206.43","2306.15","5047.53","4566.76","4138.91","3709.71","5742.9","5497.28","3620.11","2762.47","3897.12","3047.46","3851.08","3097.28","5507.18","3039.56","3728.69","2784.44","2251.69","6504.92","3722.54","2594.08","3879.44","2209.54","2532.73","2749.86","3070.9","3555.55","4187.96","5088.01","3396.79","2861.45","1894.92","2720.68","1970.48","4225.48","3743.51","3933.01"
"A6NHR9","5209.41","5122.54","3493.9","1723.35","4592.95","5667.41","1061.1","2900.5","5464.98","5435.35","5769.14","8743.96","10894.4","8716.04","6224.08","2724.37","6082.37","11781.2","1372.94","7361.41","3252.92","6860.2","7320.7","3073.58","6844.65","8161.76","9192.61","5412.45","6653.18","7066.36","5955.59","4996.16","5854.54","9825.54","4045.92","5995.54","14334.1","10622.9","6200.51","5116.61","3758.96","3028.54"
"A6NKT7","8217.95","3546.91","13865.4","970.214","958.551","11372.1","1358.4","1310.22","13792.8","1702.95","2258.05","748.985","11895.5","22293.3","16834.9","3721.67","822.446","14113.8",NA,"13910.4","400.492","4732.8","14457.2","2526.65","13148","9923.1","516.617",NA,"1706.3",NA,"1062.53","1829.95","753.24",NA,"2446.14","1554.05","2880.66","12610.3",NA,"8992.59","3355.57","7626.19"
"A6ZKI3","2888.71",NA,"3371.4","1255.9","1152.61",NA,"2758.19","1291.83","3027.55",NA,NA,NA,NA,"1251.39",NA,"3813.63",NA,NA,"1094.19","493.336","2612.52",NA,"1105.25","1703.58","3427.35","519.795",NA,NA,NA,NA,NA,"3212.28","1546.72",NA,"2949.86","2106.67",NA,NA,NA,"2108.24","2471.27","4123.55"
"A7E2V4","169.308",NA,"309.033",NA,NA,NA,NA,NA,"153.974",NA,NA,NA,NA,"300.824","366.176",NA,"220.168","416.498",NA,NA,NA,NA,"377.803",NA,NA,NA,NA,NA,"294.118","220.049","312.486",NA,NA,NA,"186.84",NA,"470.442",NA,"640.446",NA,"513.605",NA
"A8MWY0",NA,NA,NA,NA,NA,NA,"1521.91",NA,NA,NA,NA,NA,NA,NA,NA,"2653.46",NA,NA,NA,NA,NA,NA,NA,NA,"314.661",NA,NA,NA,NA,NA,NA,"478.14",NA,NA,NA,"688.245",NA,NA,NA,"1886.08",NA,NA
"A8MXV4","2647.19","5097.29","2604.64","4063.31","4390.65","3841.29","2874.95","4034.59","4145.54","4522.53","6076.16","4580.27","5169.86","3363.43","2090.46","2765.71","5424.48","4327.08","2994.23","3542.84","1722.67","3232.19","3910.84","4489.09","2949.81","5369.6","5534.81","6051.72","4831.09","3341.67","5167.85","1784.91","4134.65","7591.38","3839.94","1794.52","3514.65","3641.62","4608.94","3266.5","3468.28","2631.3"
"A9UHW6","2276.14","2424.33","1782.78","1603.68","1922.7","1405.11","1582.29","2194.05","2132.23","1948.07","2650.81","2632.03","2099.29","2224.16","2582.96","1398.49","1622.84","1805.22","2042.9","2069.76","2626.72","3154.95","2266.44","3013","2454.83","2037.7","2229.64","2069.12","1150.2","1188.78","1358.84","1518.49","3027.71","2453.96","1768.23","1554.78","1847.04","1657.9","1099.07","2040.91","1874.61","1556.99"
"B5ME19","20106.6","17373.2","20727.1","12400","14200.7","23464.2","10134.3","13217.8","19901.7","16785.3","15368.8","12603.6","21575.9","20082.1","19104.1","22616.5","13379.9","18805.7","13429.4","21431.9","9617.93","19307.5","19820.1","10192.9","19485.9","20202.4","17273","17890.4","15402.9","16640.2","19386.5","15205.7","10075.7","22877.7","21253.1","19544.2","16311.7","22873.3","16574.2","23432.1","21716.2","20026.1"
"B7ZAQ6",NA,"543.942",NA,NA,NA,NA,"196.871","340.895",NA,"344.673","214.138","612.878","261.932","248.171","392.105",NA,"440.22","379.123",NA,NA,"420.946","469.439",NA,"442.128",NA,NA,"715.539","542.553","578.232","478.069","668.471","431.802","511.512","619.446",NA,NA,"550.225","356.445",NA,NA,"286.239",NA
"C4AMC7","4651.22","3464.56","5781.14","4243.2","4633.28","3727.17","5037.1","4276.34","5692","4040.42","4548.24","3826.53","3811.12","4543.67","4452.07","4035.8","3139.38","2656.31","4582.7","4112.31","6412.49","5053.21","4502.55","4618.27","5469.98","5001.43","4105.44","5242.89","2525.28","1589.97","2873.8","5364.17","4897.62","3193.52","5008.06","5355.08","2508.18","3002.58","2583.47","3390.09","4220.28","5951.27"
"C9JLW8","5511.01","4566.21","5972.55","3972.18","6133.05","7055.1","3558.42","5753.3","4592.81","6095.13","5654.85","5943.21","6617.41","5594.93","6039.54","5667.99","5814.93","2953.13","3864.44","5087.38","5011.51","7312.34","5807.59","5357.18","5179.67","5884.39","4855.77","5044.41","3481.44","3535.34","4898.58","4926.67","6857.9","4972.46","6711.97","5406.35","4330.39","4857.16","3040.88","2743.06","7409.19","6051.35"
"E9PAV3","50903.7","41576.3","50010.3","33584.9","32174.5","61014.6","41652.6","32057.3","48531.4","51653.1","32064.5","38428.8","55103.3","37711.7","48998.6","38411.5","33127.2","27581.8","28017.4","52205.2","44178.7","60919.9","32547.2","33337.5","43894.7","43342.2","44503","35184","25565.4","14843","46223.4","35623.1","30945.5","43892.3","43498.3","31910.3","23754.9","42570.2","28058.2","31010.6","32448.3","40525.5"
"E9PJ23",NA,"2318.5","640.432",NA,NA,"1307.97",NA,NA,"549.504","1125.78","1162.13","2121.74",NA,"1321.22","1040.49",NA,"1219.7","2372.17","518.317","2068.29",NA,NA,NA,NA,NA,NA,"1555.01","1126.97","1879.4","3722.48","2330.14",NA,NA,"3246.07",NA,NA,"1267.15",NA,"2457.72",NA,"807.629",NA
"E9PRG8","4666.48","2534.13","3316.62","2710.49","5677.67","4212.82","7871.4","3883.16","3501.51","3599.04","3736.18","5174.87","2976.62","2860.86","3407.62","4907.84","3777.09","4536.79","4054.23","2133.26","4652.49","4142.21","2889.91","4931.43","1886.91","4415.66","3658.31","3620.39","2275.01","2690.85","1892.36","2725.33","4904.7","2523.25","3097.38","2509.81","1827.33","2223.98","2803.17","3410.88","2723.77","4091.01"
"L0R819","405.288",NA,"756.581","612.375","489.349",NA,"297.99",NA,"709.829","211.146",NA,NA,"319.2",NA,"455.928","403.378","234.486",NA,"480.343","253.838","272.293","220.892","213.969","805.035","268.919",NA,"303.319","301.69","169.584",NA,"244.443","450.508","1087.97",NA,"616.886",NA,NA,NA,NA,NA,"209.9","753.995"
"O00115","18550.4","18989.2","9952.54","11290","21784.2","16975.7","17936.5","8217.16","8884.33","21212.9","18900.5","18614.9","17378.6","12357.5","15657.9","11220.3","13553","14733.1","16705.4","17556.5","19789.4","16918.4","15390.9","19699","11463.7","16665.1","13462","20514.4","15357.4","12098.5","6597.5","13430.8","19219.5","22150.5","13296.9","14995.6","12855.3","18809.6","6351.68","8198.91","14505.4","16323.3"
"O00116","4358.04","5462.56","4342.56","5284.8","5324.34","4996.79","4876.22","4689.6","3399.06","5731.44","5890.68","5752.18","5861.08","5152.55","4028.36","4439.48","5152.1","5742.02","5313.98","4670.38","4213.5","5210.59","5906.57","6521.84","4441.22","6958.38","5737.91","6381.31","4481.46","5784.74","4714.9","5362.64","4904.44","5612.83","5560.31","4771.03","5332.51","6400.13","5103.28","4412.59","5173.06","4388.96"
"O00139","2513.17","1931.08","2500.15","1337.61","2715.89","1802.02","1299.77","3101.57","2346.87","2248.73","1545.79","1763.24","1631.49","2846.53","2088.52","1365.61","1594.29","2835.09","2091.02","1992.86","1164.2","1832.23","2961.62","2338.97","1657.75","1683.58","1635.56","1512.88","2315.28","2541.33","2311.3","1367.46","960.682","1515.04","2365.29","1674.8","2113.48","2318.13","3682.15","1652.97","2677.85","1759.8"
"O00142","1444.5","4219.51","1259.9","1276.64","1457.14","2685.29","2273.72","3546.14","1384.38","3188.86","3215.53","3368.76","3017.43","1988.14","2693.59","2293.19","3549.84","2214.68","1411.72","2893.41","1633.12","2483.27","2192.72","2073.94","2006.49","2984","2336.18","3022.93","2247.31","1753.31","2649.38","1868.11","1650.53","1704.71","2147.84","1289.76","3058.9","2247.18","1772.15",NA,"1702.26","1777.39"
"O00148","1618.43","2562.94","1918.5","2827.86","3969.32","3127.44","2849.76","3678.51","1904.46","3588.1","3592.29","5489.25","2848.01","3289.91","3372.31","2848.21","5180.41","4250.44","2955.74","3251.43","2048.79","3272.87","2112.09","2919.87","2449.34","3746.72","4921.68","4792.25","2619.11","2380.37","2260.16","1381.99","1609.45","3357.43","2592.74","3176.4","2204.72","2731.2","2670.85","2543.14","3567.36","1838.96"
"O00151","77613.9","71888.6","75579","47204.7","64680.4","66213.7","38117.6","54223.7","88329.6","99533.7","64294.1","52978.1","94836.7","81287.7","74564.6","62680.4","72284.1","56988.3","45202.5","62488.6","65765.7","74395.2","89536.7","61693.7","77883.4","50391.7","48767.8","54843.5","84232.7","47949.2","74405.6","62226.8","64434.1","53878.3","77607.4","70322.2","120552","96056.2","75893.4","53501.8","50163.3","91085.1"
"O00154","15884.8","19854.8","17190.9","19867.6","13534.3","12404","15444.8","14106.8","16721.6","21879.5","22187.7","17668.6","20018.5","14893","16019.8","14719.8","13736.3","10815.4","9275.51","15111","17020.2","17213","19537.3","20940","15799.8","13061.3","15966.6","19095.7","12757.3","15510.5","18591.1","16968.6","21645.1","23180.7","17542.2","12291.3","18113.8","15692.2","11664.3","8289.58","15945.7","14372.9"
"O00159","33460.3","44134","31332.9","34424.6","49474.8","36454.5","29217.5","42599.1","31879","41261.9","47099","53512.3","37544.1","41051.1","31497.5","28144.7","38337.1","36270.2","47307.2","38460.8","40124.6","43331.1","35582.6","47016.8","35082.6","38145","45556.6","47321.6","43563","44731.2","49636.6","29768.6","37173.4","40571.9","30809.9","23123.9","38576.5","40649.6","49402.4","33443.2","36781.4","24801.4"
"O00161","6240.49","5688.41","7552.27","2880.63","4005.49","10674.1","5005.14","2315.9","6986.42","4771.69","5526.55","4216.38","4698.85","7232.61","5941.65","5367.4","2893.57","5215.07","5096.14","8319.72","2325.02","7516.93","6656.4","3999.35","4996.03","6172.7","3502.23","3296.48","3418.81","3767.24","3091.49","4194.8","3997.29","4844.34","5722.15","5131.19","3920.93","9501.09","3451.55","4667.79","3276.26","5368.72"
"O00170","8819.38","7946.89","9899.13","6072.56","7477.54","5357.83","5493.52","6254.67","7969.9","7413.72","8341.94","7777.61","8933.52","8786.05","10132.2","7758.97","8577.45","9035.67","4358.6","7898.23","8730.36","11574.1","11798.3","9733.07","11619.5","11831.3","11555.4","12392.2","11029.5","9926.95","8489.18","7766.42","7637.48","14200","8491.96","10351.8","12041.6","9655.96","8832.88","7339.75","11350.2","8746.38"
"O00178","2601.26","2030.27","2915.58","2239.15","3138.82","2582.69","2228.24","2454.53","2498.21","1903.17","2402.57","2452.92","2841.56","2649.43","2041.88","2124.42","1941.67","2122.95","2389.14","2310.59","3223.76","2395.74","2705.79","2635.35","2730.21","2681.68","2917.98","2202.06","2285.82","1676.9","2947.31","2075.23","2375.39","2311.43","2344.28","2545.07","2449.24","3040.38","3206.59","3133.74","1813.27","2240.92"
"O00186","7758.67","7668.03","8775.91","8265.2","10721.1","10896.3","10561.6","9692.6","6969.13","8637","11046.7","10901.7","10551.6","9748.56","9270.68","7200.58","8642.79","9549.96","10781.2","9244.44","8535.12","12804.1","8773.41","10836.1","9215.9","10633","9560.61","11153.5","7041.33","10395.3","7191.11","6986.32","10143","8397.92","9733.16","6975.31","6362.01","10236","8798.54","7706.22","10180.8","7016.58"
"O00194","609.271","463.71",NA,"243.738",NA,"523.135",NA,"1516.22",NA,"656.582","531.302","424.656","856.746","1946.18","694.114",NA,"869.541","743.667","690.305",NA,NA,"534.638","539.391","768.751","1762.8","1757.54","712.282","1212.83","520.558",NA,"785.737","646.307","556.123","572.143","1500.62",NA,"763.064","988.83","469.043","1106.28","1291.36","1726.87"
"O00203","7359.55","5739.58","7081.14","6357.27","6172.64","7482.9","4972.59","5941.14","7895.78","5908.72","6061.89","4655.45","6590.3","6158.11","6168.61","7144.14","3380.58","6480.86","6755.08","7269.41","3598.72","6686.04","7472.66","4549.21","9394.88","7435.98","6205.45","5884.6","4918.31","6970.25","6463.64","6347.09","3236.23","6406.78","8106.93","8087.28","5314.2","8145.93","6363.71","10328.7","7677.91","7564.51"
"O00214","2118.11","2356.08","4234","1286.28","1800.36","3798.45","980.67","2699.39","2531.8","3805.03","3201.92","3260.33","2317.91","2886.58","3607.86",NA,"3677.61","3015.68","1210.97","3396.71","1949.07","3773.98","3628.41","2863.41","2425.27","4168.05","4125.63","2887.69","4103.49","3114.6","4293.92","2158.71","2732.99","2311.02","3967.96","2463.55","4057.31","3183.94","4305.41","1886.02","4173.58","2415.47"
"O00217","17208.9","17687.1","15612.7","18348","21103.8","20428.3","29517.3","25228.8","25814.1","17743.8","20604.4","13340.5","15797.5","16950.1","21691.9","24805.7","12062.3","20742.8","30464.4","20669.2","25168.9","15584.4","11885.7","14252.5","24817.5","16818","12594.8","17145.8","11219.2","14776.8","11925.7","22139.3","19883.5","13606.9","21023.9","24615.3","10631.2","11804.4","14257.3","15640.4","16051.8","31061.8"
"O00231","45600.1","42090","47267.4","42137.7","47915.1","47601.3","36113.5","39339.8","45605.5","48662.4","44880.2","50765.9","44712.5","44521","43401.6","41795.9","54450.7","41657","35824.1","45378.5","43201.2","43560.3","46429.1","52081.5","49955.6","46610.4","42890.2","50724.7","43766.8","39739.8","40797.5","39219.6","42761.9","43640.5","48131","40345.1","40905.8","50726.3","40796.5","41606.8","51015","45839"
"O00232","6956.7","6669.82","7440.53","9455.41","6615.44","6741.5","8875.47","7974.35","6851.27","4993.4","6630.26","8856.21","7767.05","7171.65","6204.24","7623.78","6038.47","5826.56","9296.12","6418.36","6877.66","7984.05","7262.15","8345.64","7241.34","7803.5","5658.38","7698.5","3800.79","4331.39","5061.28","7952.03","6614.61","5966.55","7982.2","7938.9","5091.25","8181.5","3984.93","8949.39","7650.4","8335.69"
"O00233","13447.8","19542.4","14306.4","12909.8","17395.6","16391.6","12620.5","12285.7","13342","15311","14487.1","16744.5","15690.8","13000.3","15376.8","11124.9","20084.6","13253.7","10288.3","14275.9","14645.2","17663.3","19300.7","13301.2","11656.3","16465.5","24011.5","19347.2","18299.6","17799.4","19362.9","11724.9","15255.2","25867.5","14465.7","10398.5","22754.1","19830.2","17391.3","10896.3","15006.9","10494.5"
"O00244","47410.1","41590.8","39471.5","15684.9","15462.4","29766.1","12227.3","10396.8","37202.4","47211.5","26688.3","32378.9","37403.9","48906.2","51218.9","23046.3","43363.4","39919.1","9973.06","34987.9","21110.6","24619.1","43181.5","24226","33215","29349.8","35758","28249","66024.7","54453.1","38288","24161.2","26062.6","31906.8","25331.1","18159","73414.7","37724.8","39385.8","18517.7","42080.7","39648.3"
"O00264","15463.5","9281.48","10688.5","15286.2","15066.5","13469.3","14265.9","17754.3","11930.8","9454.36","9889.15","6601.71","10821.6","10271.1","11241.8","14319","6393.95","3178.75","14564","12457","10805.7","12562.2","9069","13009.7","12053.4","13034.3","5913.55","11840.5","3770.97","6548.94","3731.58","9082.17","9570.58","2433.47","12511.9","15423.7","6504.96","14703.1","3788.48","12209.7","11528.7","13470.6"
"O00267","1989.93","1612.6","1903.16","810.772","1294.77","1921.68","1020.81","1082.11","1503.14","1526.46","1445.15","1440.17","2397.23","1795.15","2315.64","1745.33","1616.55","2305.64","625.097","1706.45","903.349","2326.02","1728.29","867.482","1944.83","1895.6","2356.19","2127.52","1799.49","2097.96","2055.16","1762.38","879.695","2316.22","2173.48","1371.05","1566.3","2486.52","1733.41","892.694","2179.29","2217.14"
"O00273","4667.13","5890.54","4034.96","4807.97","3369.76","3392.43","3852.76","4031.86","4767.06","5301.48","5141.55","5000.99","4018.2","5036.53","5465.49","4088.43","5721.44","5679.54","4391.37","4995.81","4605.54","6544.22","3665.72","4021.2","4724.72","4073.69","5102.11","5493.06","4954.9","4253.96","3974.92","4537.63","6434.42","6953.78","3899.5","5712.62","3876.49","5398.89","4188.01","4117.74","3934.76","6042.92"
"O00291","1663.59","3216.22","1574.48","1695.9","2679.08","3008.33","1602.3","1929.16","1463.38","2815.29","2706.02","3162.46","1828.79","1986.32","2470.25","1849.4","2591.33","2265.1","2244.68","2229.81","1625.31","2727.42","1576.08","2205.16","1552.01","2689.88","3530.1","3261.03","2640.18","5430.97","6162.57","1599.35","2571.29","2342.91","2759.33","1592.12","2592.74","2089.84","1871.09","1583.25","3467.65","1521.02"
"O00299","83345.1","54959.7","81831","80300.5","58293.7","72548.5","74373.7","85923.6","82272.7","50150.4","44879.4","37940.4","43091.1","58186.7","60201.3","78812.7","42251.5","39394.8","71806","66755.7","67442","52012.8","67807.7","65947.3","83220.2","45656","35835.2","68672.1","37068.6","37503.4","45285.6","87172.8","70111.4","46286.2","87458.3","80427.5","44418.9","63950.1","41949.4","88276.7","79293.3","77533.1"
"O00300","2961.45","2693.93","6034.02","2760.2","3340.88","7558.02","3198.11","2052.41","3104.28","3079.7","7282.4","1374.46","6926.62","5969.58","2963.72","3817.08","1886.06","2184.59","3496.52","4787.44","3769.36","5770.92","2934.39","2668.41","4187.07","5498.7","4880.68","2833.65","1795.71","1701.88","3234.07","2556.2","3039.19","2886.36","1774.33","2493.71","1761.58","2388.66","6332.21","4831.87","1321.26","3724.25"
"O00303","20513.3","14936.1","21779.3","19473.5","24980.7","22275.3","19711.3","15451.4","20683.8","21664.1","17091.6","16702.2","19279.8","18216.3","19817.4","21466.7","16013.8","12666.6","18735.1","18723.4","22720","21427.3","17242.2","22462.5","17327.2","23198","16124.8","17486.9","12773","7946.93","17301.8","16089.3","24036","15485.5","20902","16596.1","12341.3","22571.5","12413.4","17600.8","19676.3","21181.7"
"O00330","1533.32","983.895","1270.44","1713.16","1627.38","1986.85","2054.04","785.468","1264.77","1260.07","1764.2","1199.91","1044.44","1112.41","2253.2","1967.36","1314.15","454.228","1660.64","2625.43","2800.64",NA,"713.453","1611.65","1428.07","1022.78","926.697","1639.79","801.656","480.317","317.561","1565.38","1097.56","886.99","1960.92","1494.18","232.868","886.145",NA,"1168.5","1093.45","2707.85"
"O00391","2024.42",NA,"2568.71","2754.95","2767.09","2309.23",NA,NA,"2097.29",NA,NA,NA,NA,NA,NA,"4282.53",NA,NA,"2546.95",NA,"2447.49","909.816","1784.92",NA,"1705.14",NA,NA,NA,NA,NA,NA,"2356.99",NA,NA,"1818.49",NA,NA,NA,NA,"1743.2","1675.18","1852.16"
"O00399","1239.74","1401.71","1028.35","746.872","1183.68","681.078","915.71",NA,"1422.29","1462.18","1140.02","1854.13","1742.73","1107.28","1166.03","679.606","1165.94","1639.5","509.968","1228.01","1331.01","850.422","666.41","1111.35","701.462","876.964","1900.31","1116.48","805.715","1498.62","1390.9","1815.02","814.969","2629.71","789.885",NA,"1576.01","578.591","832.243","331.992","1123.85","967.448"
"O00400","3805.75","4998.44","3281.04","7417.96","4025.72","3638.4","5154.49","8457.02","3614.94","3203.58","4168.5","4152.46","3964.82","4941.4","5042.59","7122.31","3496.29","5801.04","3832.49","4142.75","4879.12","5065","4179.05","5535.79","5469.72","4824.72","7377.54","4868.41","7775.52","7806.54","8463.58","4224.57","4333.08","9709.41","3690.13","4030.19","7688.67","4780.86","6816.22","6189.46","3099.74","3960.79"
"O00401","3290.89","3368.28","3789.22","2297.6","1676.23","2985.44","1260.27","2424.15","3016.03","3111.16","1996.26","1750.12","1716.83","1920.94","4325.08","2070.78","2036.01","1968.31","2888.06","2433.18","2236.95","3426.4","4465.91","2900.31","3792.77","3219.63","3861.46","3237.72","4963.23","4679.23","3459.05","2292.93","3759.16","2698.68","3372.06","2431.35","3478.46","2601.64","5625.97","2347","3339.47","2262.23"
"O00410","22777","24650.2","23210.2","25741.7","24809.7","26818.6","20795.6","24077.7","26870.8","24395.8","24436.6","18131.8","26944.3","29692.7","20766.6","25464.1","19994.4","22505.5","21250.4","30031.2","18346.2","25798.8","31673.4","30146.6","25429.3","23602.4","17576.1","26304.4","16138.3","16500.6","20898.9","23078.6","19888.6","22757","23085.8","22723.1","19980","33544.5","21357.1","38163.3","22263.7","19350.8"
"O00422","2883.49","1999.66","2709.4","2240.8","2327.4","1376.66","2297.42","5416.25","2319.23","2235.19","3534.72","4311.18","5058.12","3208.18","4538.04","10485.5","2809.37","4571.53","3370.25","2473.56","3274.19","3016.38","471.346","2502.2","2078.89","1994.14","1655.83","1171.96","2274.79","4392.62","3346.96","1565.56","2706.34","3495.73","2095.5","2188.04","2833.27","925.519","3828.33","2913.42","1599.23","3531.07"
