;bCT3_1db40_1;bCT3_1db40_2;bCT3_1dT40_1;bCT3_1dT40_2;bCT3_2db40_1;bCT3_2dT40_1;bCT4_dCA2_1;bCT4_dCA2_2;bCT4_dTR2_1;bCT4_dTR2_2
ENSG00000160087.21;1054;2240;1476;1706;1841;1824;2089;1717;1387;1264
ENSG00000230415.1;5;12;6;4;18;10;8;5;10;6
ENSG00000162572.21;63;118;53;54;76;69;71;54;48;46
ENSG00000131584.19;1070;2306;1760;2122;1848;2098;2273;2056;1965;1625
ENSG00000278073.1;0;0;0;0;0;0;0;0;0;0
ENSG00000169972.13;379;795;549;619;674;713;768;604;503;478
ENSG00000127054.22;1733;3451;2362;2772;2949;2714;3170;2656;2339;2051
ENSG00000283712.1;0;0;0;0;0;0;0;0;0;0
ENSG00000240731.1;24;48;19;45;30;38;36;38;10;13
ENSG00000224051.7;822;1813;1376;1628;1431;1737;1713;1471;1466;1244
ENSG00000169962.5;10;33;9;20;20;21;16;11;14;3
ENSG00000107404.21;2235;4817;4404;5027;3885;5286;4222;3729;3834;3458
ENSG00000284372.1;0;0;0;0;0;0;0;0;0;0
ENSG00000162576.17;16895;38252;43359;47613;29916;55274;59355;50296;63273;55961
ENSG00000175756.14;1608;3564;2825;3189;2771;3962;4239;2877;2588;2249
ENSG00000223663.2;0;0;3;0;0;0;0;0;0;1
ENSG00000221978.13;1835;3310;2128;2610;2600;2136;2501;2446;2062;1919
ENSG00000224870.9;156;333;220;240;275;202;479;321;272;249
ENSG00000242485.6;1035;1963;1530;1731;1761;1982;2330;1637;1605;1450
ENSG00000264293.2;0;0;0;0;0;0;0;0;0;0
ENSG00000272455.1;70;141;68;61;109;73;92;77;48;42
ENSG00000235098.9;40;96;25;35;74;40;114;78;63;49
ENSG00000225905.1;1;4;0;0;7;0;0;4;0;0
ENSG00000205116.4;0;0;0;0;0;0;0;0;0;0
ENSG00000225285.1;0;0;0;0;0;0;0;0;0;0
ENSG00000179403.12;126;299;94;114;211;110;122;84;34;43
ENSG00000215915.10;15;34;20;8;26;14;32;20;14;14
ENSG00000160072.20;587;1288;995;1113;1040;1031;1314;1041;848;760
ENSG00000290916.1;0;0;2;2;0;0;0;0;0;0
ENSG00000284740.3;0;0;0;0;0;0;0;0;0;0
ENSG00000197785.14;1442;3035;2368;2660;2428;2923;3344;2673;2435;2069
ENSG00000205090.9;75;165;85;105;105;105;136;105;93;77
ENSG00000160075.12;2456;5070;3944;4160;4470;5002;5478;4406;4189;3508
ENSG00000215014.5;29;48;52;49;49;24;63;44;45;29
ENSG00000274481.1;0;0;0;0;0;0;0;0;0;0
ENSG00000228594.4;1198;2391;1689;1963;1845;2258;1498;1137;1078;868
ENSG00000286989.1;14;22;10;10;14;12;12;8;14;9
ENSG00000272106.1;54;119;78;64;94;94;81;83;52;46
ENSG00000197530.13;1204;2831;1737;1916;2259;2064;2298;1859;1745;1501
ENSG00000189409.14;51;115;69;79;97;71;128;72;55;61
ENSG00000248333.9;862;1603;1195;1310;1434;1199;1537;1389;1267;998
ENSG00000272004.1;1;0;0;0;0;0;0;4;1;4
ENSG00000189339.12;1644;3059;1516;1853;2506;1431;1837;2754;2023;1943
ENSG00000269737.2;8;21;8;17;23;8;2;12;12;4
ENSG00000215914.4;9;23;21;15;17;15;5;5;4;6
ENSG00000008128.23;35;49;34;55;43;48;81;36;52;44
ENSG00000268575.1;18;64;22;35;65;26;22;28;23;21
ENSG00000227775.3;202;386;217;260;346;188;57;96;81;82
ENSG00000290854.1;63;141;59;80;94;48;29;39;39;49
ENSG00000215790.9;0;0;0;0;0;0;0;0;0;0
ENSG00000008130.15;2244;4268;2735;3162;3397;2775;3493;3304;3155;2638
ENSG00000078369.19;14183;26945;20676;24460;22526;23719;21467;23272;22314;18767
ENSG00000231050.3;14;36;11;21;18;19;20;21;14;16
ENSG00000169885.10;19;20;9;14;14;4;2;8;5;5
ENSG00000178821.13;0;12;13;11;12;11;5;3;3;2
ENSG00000142609.20;0;0;2;0;0;0;0;0;0;0
ENSG00000233542.2;0;0;0;0;0;0;0;0;0;0
ENSG00000187730.9;0;0;0;0;0;0;0;0;0;0
ENSG00000226969.1;0;0;0;0;0;0;0;0;0;0
ENSG00000067606.17;60;123;75;87;98;101;95;78;65;69
ENSG00000271806.1;0;1;1;1;0;0;0;0;0;0
ENSG00000182873.5;28;49;48;37;65;47;73;44;53;47
ENSG00000162585.17;1189;2349;1456;1778;1941;1989;2720;2061;1812;1644
ENSG00000234396.3;0;3;2;5;1;3;1;1;3;2
ENSG00000157933.11;6387;12898;7602;8573;10682;8285;7721;10732;9215;8177
ENSG00000287356.1;20;63;26;24;48;27;22;26;22;27
ENSG00000116151.14;113;239;118;141;200;150;173;202;93;113
ENSG00000272161.1;0;3;0;0;1;0;0;0;0;0
ENSG00000269896.2;24;76;34;48;44;46;56;81;15;38
ENSG00000272420.1;3;4;2;1;0;10;5;3;3;2
ENSG00000157916.20;3083;6105;4716;5361;5072;5496;5433;4964;4673;3951
ENSG00000157911.11;500;1056;788;899;895;952;930;890;867;780
ENSG00000149527.18;6;12;3;11;15;5;5;10;6;5
ENSG00000224387.1;0;0;0;0;0;0;0;0;0;0
ENSG00000229393.1;0;0;2;0;0;0;0;0;0;0
ENSG00000157881.16;448;886;572;673;774;674;773;674;638;600
ENSG00000197921.6;0;1;0;0;0;0;0;0;0;0
ENSG00000272449.3;5;9;2;2;7;15;5;8;10;6
ENSG00000238164.6;7;25;7;8;14;2;6;4;9;3
ENSG00000157873.18;306;730;353;420;520;410;607;561;314;346
ENSG00000225931.3;0;0;0;0;0;0;0;1;3;0
ENSG00000228037.1;1;1;0;0;0;0;0;1;2;0
ENSG00000289610.2;0;0;1;0;1;0;1;0;0;0
ENSG00000157870.17;716;1571;1170;1328;1267;1356;1287;1319;1100;998
ENSG00000142606.16;1;4;0;0;0;0;0;0;0;0
ENSG00000237058.1;0;1;0;0;0;0;0;0;0;2
ENSG00000215912.13;7;17;6;3;15;7;3;7;2;4
ENSG00000285945.1;0;0;0;0;0;0;0;0;0;0
ENSG00000283259.1;0;0;0;0;0;0;0;0;0;0
ENSG00000233234.1;0;0;0;0;0;0;0;0;0;0
ENSG00000287396.1;0;0;0;0;0;0;0;0;0;0
ENSG00000231630.1;0;0;0;0;0;0;0;0;0;0
ENSG00000284745.1;0;2;0;0;0;0;0;0;0;0
ENSG00000169717.7;0;0;0;0;0;0;0;0;0;0
ENSG00000177133.14;29;61;33;60;39;50;68;62;55;36
ENSG00000142611.17;98;173;112;153;177;105;156;207;125;113
ENSG00000283572.1;0;0;0;0;0;0;0;0;0;0
ENSG00000226286.1;0;0;0;0;2;0;0;0;0;0
ENSG00000279839.1;0;0;0;0;0;0;0;0;0;0
ENSG00000272235.1;8;10;11;16;5;19;13;11;17;17
ENSG00000287828.1;12;20;42;29;14;41;33;31;35;26
ENSG00000286518.1;1;1;1;0;1;2;2;5;0;3
ENSG00000130762.15;68;159;144;190;131;191;153;134;179;150
ENSG00000272088.1;8;18;7;20;15;13;14;18;20;10
ENSG00000162591.17;15196;32246;29151;33343;24880;29353;28414;30446;32660;30947
ENSG00000207776.1;0;0;0;0;0;0;0;0;0;0
ENSG00000238260.3;2;4;0;3;1;0;3;7;0;1
ENSG00000158109.15;3100;5760;4808;5769;4737;5705;6296;5495;6579;5385
ENSG00000116213.16;319;717;421;483;555;494;573;569;451;399
ENSG00000078900.15;5;4;0;0;4;0;2;3;5;4
ENSG00000227589.1;0;0;0;0;0;0;0;0;0;0
ENSG00000235131.1;0;0;0;0;0;0;0;0;0;0
ENSG00000227372.12;609;1347;744;854;1041;734;741;813;761;680
ENSG00000276189.1;0;0;0;0;0;0;0;0;0;0
ENSG00000162592.10;0;1;1;0;0;0;0;1;1;0
ENSG00000235169.11;2;17;0;0;6;3;8;3;3;0
ENSG00000130764.10;1192;2422;1633;1756;2017;1718;2251;2220;1856;1439
ENSG00000266075.2;0;0;0;1;0;1;0;1;0;0
ENSG00000272153.1;7;4;7;6;9;5;8;18;15;10
ENSG00000116198.14;969;2008;1250;1536;1610;1348;1402;1705;1750;1450
ENSG00000169598.17;92;207;90;148;188;141;186;181;136;153
ENSG00000198912.12;388;671;506;590;606;643;907;762;648;595
ENSG00000236423.8;17;49;21;28;40;26;31;31;22;24
ENSG00000233304.7;0;0;0;0;0;0;0;0;0;0
ENSG00000226374.3;0;0;0;0;1;0;0;0;0;0
ENSG00000284668.2;0;0;0;0;0;0;0;0;0;0
ENSG00000284703.1;1;0;0;0;0;0;0;0;0;0
ENSG00000229280.1;0;0;0;0;0;0;0;0;0;0
ENSG00000235054.4;0;0;0;0;0;0;0;0;0;0
ENSG00000284694.1;0;0;0;0;0;0;0;0;0;0
ENSG00000227169.2;0;0;0;0;0;0;0;0;0;0
ENSG00000232596.3;0;0;0;0;0;0;0;0;0;0
ENSG00000196581.11;0;3;0;3;1;3;1;4;0;0
ENSG00000287586.1;0;0;0;0;0;0;0;0;0;0
ENSG00000284739.1;0;0;0;0;0;0;0;0;0;0
ENSG00000284674.1;0;0;0;0;0;0;0;0;0;0
ENSG00000231510.1;0;0;0;0;0;0;0;0;0;0
ENSG00000284616.1;0;0;0;0;0;0;0;0;1;0
ENSG00000284692.2;0;0;0;0;0;0;0;0;0;0
ENSG00000284666.1;0;0;0;0;0;0;0;0;0;0
ENSG00000260972.1;0;0;0;0;0;0;0;0;0;0
ENSG00000283356.1;0;0;0;0;0;0;0;0;0;0
ENSG00000236948.2;0;0;0;0;0;0;0;0;0;0
ENSG00000264341.1;0;0;0;0;0;0;0;0;0;0
ENSG00000289893.1;0;0;0;0;1;0;0;0;0;0
ENSG00000264101.1;0;0;0;0;0;0;0;0;1;0
ENSG00000131697.18;496;1000;600;711;802;657;592;667;460;450
ENSG00000069424.16;404;904;579;760;689;702;553;597;539;476
ENSG00000116254.18;12;27;14;17;12;13;41;33;34;19
ENSG00000285629.1;0;2;0;0;0;2;0;0;0;0
ENSG00000116251.11;1284;2588;1850;2235;2458;2325;3052;2602;2525;2143
ENSG00000226944.1;6;14;6;3;10;4;21;11;3;14
ENSG00000158286.13;123;272;132;129;212;146;170;213;148;122
ENSG00000116237.16;5588;10347;7637;8678;8911;8556;8172;9150;8416;7591
ENSG00000225077.3;9;7;4;4;11;0;3;2;4;1
ENSG00000173673.9;0;2;0;0;0;0;0;0;0;0
ENSG00000158292.7;421;871;429;474;637;487;438;501;339;305
ENSG00000097021.21;1924;3827;3823;4248;3249;4983;4321;3510;3908;3147
ENSG00000271746.1;0;2;6;0;6;0;1;2;2;2
ENSG00000069812.11;57;95;58;67;99;95;45;31;24;21
ENSG00000187017.18;4;15;10;2;13;9;10;8;4;4
ENSG00000265392.1;0;0;0;0;0;0;0;0;0;0
ENSG00000231868.1;0;0;0;0;0;0;0;0;0;0
ENSG00000215788.11;63;138;72;60;97;68;68;79;69;42
ENSG00000171680.23;642;1320;581;682;1000;690;937;831;769;765
ENSG00000162408.11;422;792;597;624;682;573;769;778;565;528
ENSG00000253022.1;0;0;0;1;0;1;0;0;0;0
ENSG00000229519.2;3;4;1;7;6;0;2;3;3;1
ENSG00000173662.21;14;42;7;12;28;10;39;33;11;14
